iter	Passed	Remaining
0	1	144
1	3	148
2	5	165
3	8	203
4	11	211
5	13	216
6	16	224
7	19	226
8	23	233
9	24	220
10	26	210
11	27	203
12	29	194
13	30	186
14	31	179
15	32	173
16	34	170
17	39	179
18	42	180
19	46	186
20	49	185
21	52	185
22	55	184
23	57	181
24	59	179
25	62	177
26	65	177
27	68	175
28	70	173
29	74	172
30	77	172
31	80	171
32	83	169
33	86	167
34	88	164
35	89	159
36	91	155
37	93	153
38	96	151
39	99	149
40	102	147
41	103	143
42	106	141
43	109	139
44	112	137
45	115	135
46	118	133
47	121	131
48	127	132
49	130	130
50	140	135
51	143	132
52	146	130
53	149	127
54	153	125
55	159	125
56	162	122
57	164	119
58	171	118
59	177	118
60	178	114
61	183	112
62	186	109
63	189	106
64	191	102
65	193	99
66	196	96
67	199	93
68	201	90
69	205	88
70	207	84
71	209	81
72	210	77
73	212	74
74	213	71
75	216	68
76	220	65
77	223	62
78	225	60
79	228	57
80	230	54
81	234	51
82	236	48
83	238	45
84	239	42
85	240	39
86	242	36
87	244	33
88	247	30
89	250	27
90	253	25
91	255	22
92	258	19
93	260	16
94	265	13
95	267	11
96	270	8
97	272	5
98	274	2
99	275	0
